Субъект,Код ОКПД-2,Округ,Месяц,Год,Значение
Хабаровский край,23.52.10.130,ДВФО,1,2020,0.7
Кировская область,23.52.10.130,ПФО,1,2020,0.0
Нижегородская область,23.52.10.130,ПФО,1,2020,1.5
Оренбургская область,23.52.10.130,ПФО,1,2020,0.0
Пензенская область,23.52.10.130,ПФО,1,2020,0.6
Пермский край,23.52.10.130,ПФО,1,2020,46.7
Республика Башкортостан,23.52.10.130,ПФО,1,2020,0.0
Республика Марий Эл,23.52.10.130,ПФО,1,2020,0.0
Республика Мордовия,23.52.10.130,ПФО,1,2020,0.0
Республика Татарстан,23.52.10.130,ПФО,1,2020,2.889
Самарская область,23.52.10.130,ПФО,1,2020,0.0
Саратовская область,23.52.10.130,ПФО,1,2020,0.0
Удмуртская Республика,23.52.10.130,ПФО,1,2020,1.8
Ульяновская область,23.52.10.130,ПФО,1,2020,4.6
Чувашская Республика,23.52.10.130,ПФО,1,2020,0.0
Архангельская область,23.52.10.130,СЗФО,1,2020,0.0
Вологодская область,23.52.10.130,СЗФО,1,2020,45.6
Калининградская область,23.52.10.130,СЗФО,1,2020,0.0
Ленинградская область,23.52.10.130,СЗФО,1,2020,4.0
Мурманская область,23.52.10.130,СЗФО,1,2020,0.0
Новгородская область,23.52.10.130,СЗФО,1,2020,0.0
Псковская область,23.52.10.130,СЗФО,1,2020,0.0
Республика Карелия,23.52.10.130,СЗФО,1,2020,0.0
Республика Коми,23.52.10.130,СЗФО,1,2020,0.0
Санкт-Петербург,23.52.10.130,СЗФО,1,2020,0.0
Кабардино-Балкарская Республика,23.52.10.130,СКФО,1,2020,0.0
Карачаево-Черкесская Республика,23.52.10.130,СКФО,1,2020,0.0
Республика Дагестан,23.52.10.130,СКФО,1,2020,0.0
Республика Ингушетия,23.52.10.130,СКФО,1,2020,0.0
Республика Северная Осетия-Алания,23.52.10.130,СКФО,1,2020,0.0
Ставропольский край,23.52.10.130,СКФО,1,2020,0.0
Чеченская Республика,23.52.10.130,СКФО,1,2020,0.0
Алтайский край,23.52.10.130,СФО,1,2020,0.0
Забайкальский край,23.52.10.130,ДВФО,1,2020,0.0
Иркутская область,23.52.10.130,СФО,1,2020,0.0
Кемеровская область,23.52.10.130,СФО,1,2020,0.0
Красноярский край,23.52.10.130,СФО,1,2020,0.0
Новосибирская область,23.52.10.130,СФО,1,2020,0.0
Омская область,23.52.10.130,СФО,1,2020,0.0
Республика Алтай,23.52.10.130,СФО,1,2020,0.0
Республика Бурятия,23.52.10.130,ДВФО,1,2020,0.0
Республика Тыва,23.52.10.130,СФО,1,2020,0.0
Республика Хакасия,23.52.10.130,СФО,1,2020,0.0
Томская область,23.52.10.130,СФО,1,2020,0.0
Курганская область,23.52.10.130,УФО,1,2020,0.0
Свердловская область,23.52.10.130,УФО,1,2020,2.0
Тюменская область,23.52.10.130,УФО,1,2020,0.0
Челябинская область,23.52.10.130,УФО,1,2020,117.6
Белгородская область,23.52.10.130,ЦФО,1,2020,0.0
Брянская область,23.52.10.130,ЦФО,1,2020,0.0
Владимирская область,23.52.10.130,ЦФО,1,2020,0.0
Воронежская область,23.52.10.130,ЦФО,1,2020,0.0
Ивановская область,23.52.10.130,ЦФО,1,2020,0.1
Калужская область,23.52.10.130,ЦФО,1,2020,0.0
Костромская область,23.52.10.130,ЦФО,1,2020,0.0
Курская область,23.52.10.130,ЦФО,1,2020,0.0
Липецкая область,23.52.10.130,ЦФО,1,2020,0.0
Москва,23.52.10.130,ЦФО,1,2020,0.0
Московская область,23.52.10.130,ЦФО,1,2020,0.0
Орловская область,23.52.10.130,ЦФО,1,2020,0.0
Рязанская область,23.52.10.130,ЦФО,1,2020,1.0
Смоленская область,23.52.10.130,ЦФО,1,2020,0.0
Тамбовская область,23.52.10.130,ЦФО,1,2020,0.0
Тверская область,23.52.10.130,ЦФО,1,2020,0.0
Тульская область,23.52.10.130,ЦФО,1,2020,0.0
Ярославская область,23.52.10.130,ЦФО,1,2020,0.0
Астраханская область,23.52.10.130,ЮФО,1,2020,0.0
Волгоградская область,23.52.10.130,ЮФО,1,2020,0.0
Краснодарский край,23.52.10.130,ЮФО,1,2020,0.0
Республика Адыгея,23.52.10.130,ЮФО,1,2020,0.0
Республика Калмыкия,23.52.10.130,ЮФО,1,2020,0.0
Республика Крым,23.52.10.130,ЮФО,1,2020,0.0
Ростовская область,23.52.10.130,ЮФО,1,2020,0.0
Севастополь,23.52.10.130,ЮФО,1,2020,0.0
Амурская область,23.52.10.110,ДВФО,2,2020,0.0
Еврейская автономная область,23.52.10.110,ДВФО,2,2020,0.0
Камчатский край,23.52.10.110,ДВФО,2,2020,0.0
Магаданская область,23.52.10.110,ДВФО,2,2020,0.0
Приморский край,23.52.10.110,ДВФО,2,2020,0.0
Республика Саха (Якутия),23.52.10.110,ДВФО,2,2020,0.0
Сахалинская область,23.52.10.110,ДВФО,2,2020,0.0
Хабаровский край,23.52.10.110,ДВФО,2,2020,0.0
Кировская область,23.52.10.110,ПФО,2,2020,0.0
Нижегородская область,23.52.10.110,ПФО,2,2020,4.503
Оренбургская область,23.52.10.110,ПФО,2,2020,13.7
Пензенская область,23.52.10.110,ПФО,2,2020,0.0
Пермский край,23.52.10.110,ПФО,2,2020,5.6
Республика Башкортостан,23.52.10.110,ПФО,2,2020,132.694
Республика Марий Эл,23.52.10.110,ПФО,2,2020,2.0
Республика Мордовия,23.52.10.110,ПФО,2,2020,1.5
Республика Татарстан,23.52.10.110,ПФО,2,2020,1.88
Самарская область,23.52.10.110,ПФО,2,2020,2.8
Саратовская область,23.52.10.110,ПФО,2,2020,6.6
Удмуртская Республика,23.52.10.110,ПФО,2,2020,0.0
Ульяновская область,23.52.10.110,ПФО,2,2020,7.7
Чувашская Республика,23.52.10.110,ПФО,2,2020,0.0
Архангельская область,23.52.10.110,СЗФО,2,2020,14.3
Вологодская область,23.52.10.110,СЗФО,2,2020,0.0
Калининградская область,23.52.10.110,СЗФО,2,2020,0.0
Ленинградская область,23.52.10.110,СЗФО,2,2020,0.0
Мурманская область,23.52.10.110,СЗФО,2,2020,0.0
Новгородская область,23.52.10.110,СЗФО,2,2020,19.473
Псковская область,23.52.10.110,СЗФО,2,2020,0.0
Республика Карелия,23.52.10.110,СЗФО,2,2020,0.0
Республика Коми,23.52.10.110,СЗФО,2,2020,7.0
Санкт-Петербург,23.52.10.110,СЗФО,2,2020,2.4
Кабардино-Балкарская Республика,23.52.10.110,СКФО,2,2020,0.0
Карачаево-Черкесская Республика,23.52.10.110,СКФО,2,2020,4.5
Республика Дагестан,23.52.10.110,СКФО,2,2020,1.3
Республика Ингушетия,23.52.10.110,СКФО,2,2020,0.0
Республика Северная Осетия-Алания,23.52.10.110,СКФО,2,2020,0.0
Ставропольский край,23.52.10.110,СКФО,2,2020,0.0
Чеченская Республика,23.52.10.110,СКФО,2,2020,1.4
Алтайский край,23.52.10.110,СФО,2,2020,2.6
Забайкальский край,23.52.10.110,ДВФО,2,2020,0.0
Иркутская область,23.52.10.110,СФО,2,2020,0.1
Кемеровская область,23.52.10.110,СФО,2,2020,42.0
Красноярский край,23.52.10.110,СФО,2,2020,17.4
Новосибирская область,23.52.10.110,СФО,2,2020,15.9
Омская область,23.52.10.110,СФО,2,2020,0.0
Республика Алтай,23.52.10.110,СФО,2,2020,0.0
Республика Бурятия,23.52.10.110,ДВФО,2,2020,0.0
Республика Тыва,23.52.10.110,СФО,2,2020,0.0
Республика Хакасия,23.52.10.110,СФО,2,2020,0.0
Томская область,23.52.10.110,СФО,2,2020,0.0
Курганская область,23.52.10.110,УФО,2,2020,0.0
Свердловская область,23.52.10.110,УФО,2,2020,43.5
Тюменская область,23.52.10.110,УФО,2,2020,0.0
Челябинская область,23.52.10.110,УФО,2,2020,34.3
Белгородская область,23.52.10.110,ЦФО,2,2020,31.09
Брянская область,23.52.10.110,ЦФО,2,2020,22.4
Владимирская область,23.52.10.110,ЦФО,2,2020,3.2
Воронежская область,23.52.10.110,ЦФО,2,2020,29.4
Ивановская область,23.52.10.110,ЦФО,2,2020,0.0
Калужская область,23.52.10.110,ЦФО,2,2020,10.2
Костромская область,23.52.10.110,ЦФО,2,2020,14.6
Курская область,23.52.10.110,ЦФО,2,2020,0.0
Липецкая область,23.52.10.110,ЦФО,2,2020,124.9
Москва,23.52.10.110,ЦФО,2,2020,0.0
Московская область,23.52.10.110,ЦФО,2,2020,0.0
Орловская область,23.52.10.110,ЦФО,2,2020,0.0
Рязанская область,23.52.10.110,ЦФО,2,2020,0.0
Смоленская область,23.52.10.110,ЦФО,2,2020,0.0
Тамбовская область,23.52.10.110,ЦФО,2,2020,0.0
Тверская область,23.52.10.110,ЦФО,2,2020,0.6
Тульская область,23.52.10.110,ЦФО,2,2020,17.3
Ярославская область,23.52.10.110,ЦФО,2,2020,0.0
Астраханская область,23.52.10.110,ЮФО,2,2020,0.0
Волгоградская область,23.52.10.110,ЮФО,2,2020,0.164
Краснодарский край,23.52.10.110,ЮФО,2,2020,6.334
Республика Адыгея,23.52.10.110,ЮФО,2,2020,0.0
Республика Калмыкия,23.52.10.110,ЮФО,2,2020,0.0
Республика Крым,23.52.10.110,ЮФО,2,2020,25.5
Ростовская область,23.52.10.110,ЮФО,2,2020,10.9
Севастополь,23.52.10.110,ЮФО,2,2020,0.0
Амурская область,23.52.10.120,ДВФО,2,2020,0.0
Еврейская автономная область,23.52.10.120,ДВФО,2,2020,0.0
Камчатский край,23.52.10.120,ДВФО,2,2020,0.0
Магаданская область,23.52.10.120,ДВФО,2,2020,0.0
Приморский край,23.52.10.120,ДВФО,2,2020,0.0
Республика Саха (Якутия),23.52.10.120,ДВФО,2,2020,0.0
Сахалинская область,23.52.10.120,ДВФО,2,2020,0.0
Хабаровский край,23.52.10.120,ДВФО,2,2020,0.0
Кировская область,23.52.10.120,ПФО,2,2020,0.0
Нижегородская область,23.52.10.120,ПФО,2,2020,0.0
Оренбургская область,23.52.10.120,ПФО,2,2020,0.0
Пензенская область,23.52.10.120,ПФО,2,2020,0.0
Пермский край,23.52.10.120,ПФО,2,2020,0.033
